,source_id,ra,dec,pseudocolour,rp,bp,dist,gmag,pmra,pmdec,radial_velocity,x,y,z
0,418551920284673408,10.12724197930297,56.53718879378639,1.3951974,1.8435026,2.9869862,71.198784,1.9425238,49.125645,-31.595375,0.0,38.64703500472026,6.903045279683389,-59.39715055698568
1,4357027756659697664,243.58621066034064,-3.694967708333353,1.3728052,1.9189217,3.482232,48.33059,2.0164251,-45.34002,-144.43272,0.0,-21.455206346873965,-43.19512721533809,3.114648489303117
2,5589311357728452608,109.2855942327878,-37.09744448527957,1.3361923,1.9080331,3.4506135,198.30685,2.0832374,-11.562,6.5201116,0.0,-52.24048514037059,149.29573258276153,119.61322126670518
3,4993479684438433792,6.57215550145885,-42.30782032569077,1.4411501,2.032224,3.301706,24.927925,2.0899775,176.2683,-398.87213,0.0,18.314031739769902,2.109986905942722,16.779321842585766
4,4038055447778237312,274.4060904518451,-36.76242931758906,1.1793556,1.9154117,3.742679,42.107616,2.1164951,-131.80408,-166.30893,0.0,2.591570552790742,-33.633725625049436,25.2013409931348
5,1279798794197267072,221.24648617076684,27.074315757773466,1.5234817,2.1027422,3.2867486,72.694786,2.1833525,-50.818256,21.023521,0.0,-48.66820640832322,-42.675591571508306,-33.086726652911
6,160886283751041408,74.24843702624405,33.16601472318802,1.4004297,2.0509734,3.4961586,136.34718,2.1975422,3.8169754,-17.786274,0.0,30.983775933189754,109.84871238418238,-74.59101494423756
7,4302054339959905920,296.5649857104696,10.613252703828636,1.4283441,1.9184874,3.3967323,183.87367,2.223692,16.232737,-1.3542328,0.0,80.8238794358889,-161.6482206228351,-33.86561385348005
8,1222646935698492160,233.67254376294215,26.714295174747274,1.3564584,2.4125688,2.9421518,23.76685,2.2693703,118.92724,-87.71096,0.0,-12.576612984052666,-17.103799423112285,-10.684194404156159
9,5111187420714898304,59.507642022011794,-13.50901261093026,1.2505059,1.9435346,3.6330206,58.66002,2.2707934,62.227,-112.00607,0.0,28.94195323854134,49.14867566376906,13.702881800414149
10,1563590579347125632,200.9823733653325,54.92525907860076,1.3844311,2.4338107,2.9681494,24.867203,2.282647,122.46748,-22.681887,0.0,-13.34225399496048,-5.116902535874047,-20.351396802567038
11,4049506483413484672,275.24868220695066,-29.82822386700995,1.313895,2.0510972,3.4772964,128.63443,2.296982,33.211994,-27.36097,0.0,10.208385195538655,-111.1251041109023,63.98294061283471
12,6227443304915069056,226.0172005141403,-25.2821590562471,1.0844394,2.0032084,3.9132633,80.019646,2.3034124,-73.484,-42.632145,0.0,-50.246386336604154,-52.062925363671994,34.17449646527003
13,804753180515722624,155.58176101601168,41.49966386040507,1.4694164,2.0164533,3.6615462,56.37625,2.32451,-73.7488,28.259325,0.0,-38.446728119243,17.45496862792552,-37.35578577925575
14,4429785739602747392,236.0675744297602,6.425832666908804,1.3922832,1.9836086,3.3184485,22.70558,2.3253543,133.92233,45.550423,0.0,-12.594962344570611,-18.720387146468745,-2.541139854784904
15,2106630885454013184,283.83388403904866,43.94645113267487,1.2699461,2.0015056,4.4252152,95.251526,2.3616831,20.136234,81.34923,0.0,16.398014060422952,-66.59072623945984,-66.10320354645576
16,5922444483103229952,261.3248860596135,-55.52999691705136,1.4430869,2.1189883,3.561694,218.8448,2.3912818,-8.039169,-25.926582,0.0,-18.682077887988846,-122.44359001710937,180.42060225082153
17,6407842789021567872,334.62477862508103,-60.25977542657531,1.6367155,2.1070552,3.5457501,56.557983,2.396663,-76.99974,-32.82301,0.0,25.349743026881658,-12.023510963679769,49.10836134107537
18,856096765753549056,165.46097417209683,56.38257749355825,1.5103593,2.515501,3.0090785,26.016953,2.3985364,79.95861,32.36454,0.0,-13.942884776505842,3.6160090544125123,-21.665693758375184
19,3704342295607157120,193.89877797423057,3.3972301950318524,1.32962,2.0112715,3.9102104,57.68708,2.4037774,-469.71387,-53.709988,0.0,-55.89968908550108,-13.832509213024505,-3.418427700318265
20,4473334474604992384,265.86794661822,4.568012245771951,1.5961487,2.1105976,3.399839,25.421354,2.4423249,-41.793182,159.42989,0.0,-1.8259282599659503,-25.274733364951235,-2.024618115446616
21,3501215734352781440,188.59681758232725,-23.397012233844624,1.4981112,2.2373757,3.3300257,45.23901,2.448283,1.1162392,-56.703968,0.0,-41.05276571039464,-6.206314726465499,17.9644123428406
22,2202630001603369856,325.8769443071388,58.78002783444686,1.31507,1.9729801,4.243888,3750.2668,2.450726,3.439341,-4.10834,0.0,1609.1926832165686,-1090.449975824978,-3207.1667916851166
23,4629125170492116224,56.81058395021464,-74.23845269276111,1.4822586,2.035936,3.8621483,66.36263,2.4740036,50.798645,114.791435,0.0,9.867793070154411,15.08564976113449,63.86742903644936
24,702343774145932544,140.2625728404832,34.39263287351821,1.4317697,2.1015406,3.7024338,67.70043,2.488654,-218.72256,16.555168,0.0,-42.959537516494194,35.71312547755311,-38.241326169189975
25,1625209684868707328,245.9977069286059,61.51446351163256,1.5117016,2.2034333,3.3004897,27.97602,2.494415,-16.39437,57.093906,0.0,-5.427491987584463,-12.189033703707299,-24.589174104369466
26,6126469654585981952,182.08939329942345,-50.72248107334658,1.862067,2.6314585,2.8839037,182.8512,2.508257,-42.613148,-11.134817,0.0,-115.68196332330042,-4.220421121826243,141.54304203549188
27,5917537534527580160,254.6549130347896,-55.99029939641002,1.3663999,2.1016068,3.7142208,174.1363,2.5107856,-17.518238,-36.120033,0.0,-25.775215468793146,-93.92785473927482,144.34904692898036
28,5361403934691772160,161.6928645043898,-49.420476913951866,1.398524,2.2191339,3.3215032,34.44941,2.5133939,68.536736,-48.819157,0.0,-21.275215250753526,7.03904421085052,26.164459137920215
29,4076915349846977664,276.99244340050245,-25.422523033637848,1.4310203,2.200824,3.4018164,23.26556,2.5435061,-46.151554,-185.06737,0.0,2.558050462950506,-20.85638916217024,9.987676960069663
30,5306951892646516992,142.80522590576416,-57.03435042166543,1.4467573,2.1003063,3.7475293,68.31467,2.5465453,-32.615185,5.856566,0.0,-29.611042364872578,22.471747921124102,57.31579932831851
31,1297565458994346240,247.554529319034,21.48954466071868,1.7345347,2.2266295,3.36776,44.511997,2.547638,-98.82187,-14.869239,0.0,-15.813450762630941,-38.28005125534836,-16.306143866462065
32,1415230383034813824,262.6080575941285,52.30144332961535,1.5658044,2.2363496,3.3843937,111.89748,2.5482864,-16.125877,11.357536,0.0,-8.803438132988644,-67.85743323109361,-88.53764319585605
33,2971266110612490624,83.18258484252563,-17.822282254766677,1.5624678,2.4545782,3.146066,644.9792,2.5535128,3.3641908,1.4840058,0.0,72.88854347893323,609.6854356526746,197.40592244197728
34,4337352305320149760,249.28979755823173,-10.56697607712102,1.621912,2.5672572,3.0091202,135.46002,2.5565956,10.464967,24.741568,0.0,-47.09187391018138,-124.55794615704238,24.841305907043278
35,5099455184968674560,49.87942190770887,-21.75771998267506,1.3966494,2.0912385,4.1026216,94.32637,2.5895581,52.773945,32.718266,0.0,56.453495816326324,66.9918331698663,34.96514229963506
36,5502164890740285696,102.48426657164552,-50.61484787877496,1.2798728,2.24651,3.558935,52.70096,2.6184993,32.618183,-69.565735,0.0,-7.228851745288596,32.6496693071413,40.73246839439704
